年份,月份,类型,成员单位,交易对象,交易金额,企业类型,社会信用代码
2024,1,Customer,物产化工（浙江自贸区）有限公司,江苏申久（集团）有限公司,4786113.12,企业,91320585746212173C
2024,1,Customer,物产中大新材料科技发展（浙江）有限公司,江西聚锐德新材料股份有限公司,23009778.4,企业,91360700MA39BNBDXB
2024,1,Customer,宁波凯优国际贸易有限公司,江门市制漆厂有限公司,2709776.65,企业,91440703193922748Q
2024,1,Customer,浙江物产化工集团宁波有限公司,江门市制漆厂有限公司,1265040,企业,91440703193922748Q
2024,1,Customer,物产中大新材料科技发展（浙江）有限公司,江门市制漆厂有限公司,138541,企业,91440703193922748Q
2024,1,Customer,物产中大化工集团有限公司,江阴兴佳新材料有限公司,2216000,企业,91320281748729256K
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,江阴兴佳新材料有限公司,18166500,企业,91320281748729256K
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,江阴市金桥化工有限公司,4279000,企业,91320281724436221E
2024,1,Customer,物产中大（海南）发展有限公司,江阴市金桥化工有限公司,8600000,企业,91320281724436221E
2024,1,Customer,物产化工（浙江自贸区）有限公司,江阴市金桥化工有限公司,4606000,企业,91320281724436221E
2024,1,Customer,物产中大化工集团有限公司,沈阳通威生物科技有限公司,6869415.66,企业,91210113MA7DPLL92Q
2024,1,Customer,物产化工（浙江自贸区）有限公司,泰来安盛农业有限公司,17883392.4,企业,91230224352224315C
2024,1,Customer,物产中大化工集团有限公司,浙江凯普奇新材料科技有限公司,4347259.4,企业,91330481MABX6YFM80
2024,1,Customer,物产中大化工集团有限公司,浙江华昇饲料科技有限公司,4523023.08,企业,91330782MA2M33H973
2024,1,Customer,浙江物产化工集团宁波有限公司,浙江华立国际发展有限公司,4328600,企业,913300007042025753
2024,1,Customer,物产化工（浙江自贸区）有限公司,浙江嘉越贸易有限公司,4898880,企业,91330381MA2HCC5J1Y
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,浙江德升物产有限公司,1488000,企业,91331127MA2A1ACGXH
2024,1,Customer,物产中大化工集团有限公司,浙江德升物产有限公司,841881.5,企业,91331127MA2A1ACGXH
2024,1,Customer,物产化工（浙江自贸区）有限公司,浙江德升物产有限公司,13141245,企业,91331127MA2A1ACGXH
2024,1,Customer,物产中大化工集团有限公司,浙江拓毅实业有限公司,26487601.3,企业,91330900MA7BNFHP98
2024,1,Customer,物产中大（海南）发展有限公司,浙江杭实善成实业有限公司,3642500,企业,91331127MA2A03CN2R
2024,1,Customer,浙江物产化工集团宁波有限公司,浙江欣港能源化工有限公司,7255479,企业,91330900MA7MYM8R74
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,浙江源涌实业有限公司,11020000,企业,913302010538175409
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,浙江源涌实业有限公司,2300500,企业,913302010538175409
2024,1,Customer,物产化工（浙江自贸区）有限公司,浙江源涌实业有限公司,6639500,企业,913302010538175409
2024,1,Customer,物产中大化工集团有限公司,浙江热联同裕实业有限公司,21734000,企业,91330113MACQXWBK3M
2024,1,Customer,浙江物产化工集团宁波有限公司,浙江自贸区臻和石油化工有限公司,10978966.95,企业,91330900MA2A399Y6Q
2024,1,Customer,浙江物产化工集团宁波有限公司,浙江舟山汇安能源有限公司,47762102.02,企业,91330901MA2A2F6XX0
2024,1,Customer,物产中大石油化工（浙江）有限公司,浙江舟山汇安能源有限公司,10298940,企业,91330901MA2A2F6XX0
2024,1,Customer,物产中大化工集团有限公司,浙江舟山泓弈通石化有限公司,9456665.8,企业,91330900MA2A3RMF2L
2024,1,Customer,物产中大化工集团有限公司,浙江融侨新材料有限公司,252294.75,企业,91330281MA2GUKXR4N
2024,1,Customer,物产中大（海南）发展有限公司,海南汉地流体材料有限公司,248864186.09,企业,914603000623375578
2024,1,Customer,物产中大化工集团有限公司,海南海控国际贸易有限责任公司,8840000,企业,91469027MA5TCMQP8D
2024,1,Customer,物产中大（海南）发展有限公司,海南鸿运新能源投资有限公司,2772300,企业,91460200324030679W
2024,1,Customer,浙江物产经编供应链有限公司,海宁市春晟经编有限公司,13919465.75,企业,91330481732430057H
2024,1,Customer,浙江物产经编供应链有限公司,海宁市盛星经编有限公司,2815833.2,企业,913304817338328407
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,淄博骏凯产业发展投资有限公司,7830000,企业,91370305MA3UR2JM3W
2024,1,Customer,浙江物产春达化工有限公司,深圳市旺达电线电缆有限公司,1502600,企业,91440300MA5EX82N14
2024,1,Customer,物产中大乾睿能源化工（浙江）有限公司,湖州市中跃化纤有限公司,7120000,企业,91330500MA29KF13XN
2024,1,Customer,物产中大嘉悦（浙江）能源有限公司,湖州市中跃化纤有限公司,9394752,企业,91330500MA29KF13XN
2024,1,Customer,物产化工（浙江自贸区）有限公司,湖州市中跃化纤有限公司,20853624,企业,91330500MA29KF13XN
2024,1,Customer,宁波凯优国际贸易有限公司,福建三一化工有限公司,286674,企业,91350181MA2Y90MX0K
2024,1,Customer,物产中大新材料科技发展（浙江）有限公司,福建三一化工有限公司,1058177.1,企业,91350181MA2Y90MX0K
2024,1,Customer,物产中大欧泰有限公司,精鹰联合橡胶（青岛）有限公司,1392607,企业,91370220MACRW54QX2
2024,1,Customer,物产中大欧泰有限公司,重庆长润苏泽供应链管理有限公司,100826400,企业,91500113MA60TE3A5N
2024,1,Customer,物产中大化工集团有限公司,长春通威饲料有限公司,685624.85,企业,91220182702594229U
2024,1,Customer,浙江物产化工集团宁波有限公司,陕西延长石油物资集团江苏有限公司,6701294,企业,91321102MA1MX93H15
2024,1,Customer,物产中大化工集团有限公司,青岛中谷顺贸易有限公司,3509073.5,企业,9137020239650778XY
2024,1,Customer,物产中大化工集团有限公司,龙南市星弘生物科技有限公司,10250598,企业,91360727MA7DYMYQ6E
2024,1,Supplier,物产中大化工集团有限公司,上海久一国际贸易有限公司,281554,企业,91310000MAD8M4PWXW
2024,1,Supplier,物产中大化工集团有限公司,上海楷烨粮油贸易有限公司,1701025.44,企业,91310115MA1H8UXY8B
2024,1,Supplier,浙江物产氯碱化工有限公司,上海重工实业投资有限公司,4076475,企业,9131000079273890XA
2024,1,Supplier,欧泰汇能（东营）供应链有限公司,上海锦燧国际贸易有限公司,2405088,企业,91310230MA1K0C4C32
2024,1,Supplier,物产化工（浙江自贸区）有限公司,上海锦燧国际贸易有限公司,2399040,企业,91310230MA1K0C4C32
2024,1,Supplier,舟山聚能能源有限公司,上海锦燧国际贸易有限公司,4644864,企业,91310230MA1K0C4C32
2024,1,Supplier,欧泰汇能（东营）供应链有限公司,东台磊达钢帘线有限公司,4366327.2,企业,913209816632761472
2024,1,Supplier,物产中大欧泰有限公司,东台磊达钢帘线有限公司,1093284,企业,913209816632761472
2024,1,Supplier,舟山聚能能源有限公司,东台磊达钢帘线有限公司,2583859.55,企业,913209816632761472
2024,1,Supplier,宁波凯优国际贸易有限公司,东莞市百安石化仓储有限公司,441089.62,企业,91441900774014748R
2024,1,Supplier,浙江物产化工集团宁波有限公司,东莞市百安石化仓储有限公司,1150116.82,企业,91441900774014748R
2024,1,Supplier,物产中大新材料科技发展（浙江）有限公司,东莞市百安石化仓储有限公司,155397.31,企业,91441900774014748R
2024,1,Supplier,物产中大欧泰有限公司,中信期货有限公司上海浦东分公司,5742898.35,企业,91310000834670756T
2024,1,Supplier,浙江物产化工集团宁波有限公司,中海壳牌石油化工有限公司,2921570.76,企业,914413007109397255
2024,1,Supplier,浙江物产化工集团宁波有限公司,中海油广东销售有限公司,3741337.77,企业,91440101591510976M
2024,1,Supplier,物产中大化工集团有限公司,中石化（香港）海南石油有限公司,2524186.79,企业,91460300557374018R
2024,1,Supplier,物产中大化工集团有限公司,中粮东海粮油工业（张家港）有限公司,29093057.9,企业,913205926082583175
2024,1,Supplier,物产中大化工集团有限公司,乌苏市润通棉业有限公司,4890000,企业,91654202MA78HH6N2R
2024,1,Supplier,物产中大化工集团有限公司,京粮（盘锦）港口物流有限公司,3803663.82,企业,91211100MA0UQGXR0B
2024,1,Supplier,浙江物产化工集团宁波有限公司,信诺立兴（黄骅市）集团股份有限公司,3983000,\N,\N
2024,1,Supplier,物产中大（海南）发展有限公司,兴业银期商品贸易有限公司,10436400,企业,91310101MA1FP7UA0P
2024,1,Supplier,浙江物产化工集团宁波有限公司,北方华锦化学工业股份有限公司营口储运分公司,49130100,\N,\N
2024,1,Supplier,浙江物产化工集团宁波有限公司,南通化工轻工股份有限公司,7231867.2,企业,913206001382908562
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,南通化工轻工股份有限公司,17934000,企业,913206001382908562
2024,1,Supplier,物产中大欧泰有限公司,南通化工轻工股份有限公司,10769959.04,企业,913206001382908562
2024,1,Supplier,物产中大（海南）发展有限公司,南通化工轻工股份有限公司,20017500,企业,913206001382908562
2024,1,Supplier,物产化工（浙江自贸区）有限公司,南通化工轻工股份有限公司,4550000,企业,913206001382908562
2024,1,Supplier,物产中大欧泰有限公司,厦门国贸纸业有限公司,5700359.5,企业,91350203051156072L
2024,1,Supplier,物产中大（海南）发展有限公司,嘉兴汇利丰贸易有限公司,506216.29,企业,91330400095168307U
2024,1,Supplier,物产中大化工集团有限公司,国家能源集团宁夏煤业有限责任公司,2420500,企业,91640000735972927P
2024,1,Supplier,物产中大欧泰（海南）国际贸易有限公司,国家能源集团宁夏煤业有限责任公司,4100090.2,企业,91640000735972927P
2024,1,Supplier,物产中大乾睿能源化工（浙江）有限公司,宁波杉杉能化有限公司,4257598.8,企业,91330201316904321G
2024,1,Supplier,物产化工（浙江自贸区）有限公司,宁波杉杉能化有限公司,11019000,企业,91330201316904321G
2024,1,Supplier,物产中大化工集团有限公司,宁波泽高饲料有限公司,5787229.96,企业,91330211MA292XGD85
2024,1,Supplier,物产中大化工集团有限公司,富邦资源控股集团有限公司,6135844.8,企业,91330201MA7J3HGD8W
2024,1,Supplier,物产化工（浙江自贸区）有限公司,富邦资源控股集团有限公司,5781540,企业,91330201MA7J3HGD8W
2024,1,Supplier,舟山聚能能源有限公司,山东众宁橡胶科技有限公司,14460373.89,企业,91370785MACBWAHF1T
2024,1,Supplier,物产中大欧泰有限公司,山东大业股份有限公司,1318985.2,企业,91370700758260017E
2024,1,Supplier,舟山聚能能源有限公司,山东海龙博莱特化纤有限责任公司,663352.6,\N,\N
2024,1,Supplier,物产中大化工集团有限公司,常州塑来贸易有限公司,4461000,企业,91320411MA1TC9Y950
2024,1,Supplier,物产化工（浙江自贸区）有限公司,常州塑来贸易有限公司,15274000,企业,91320411MA1TC9Y950
2024,1,Supplier,物产中大乾睿能源化工（浙江）有限公司,广东金发科技有限公司,17792850,企业,91441802077867032A
2024,1,Supplier,浙江物产氯碱化工有限公司,广东金和化工有限公司,800887.5,企业,91440115093120107E
2024,1,Supplier,物产中大化工集团有限公司,广东金和化工有限公司,3227887.37,企业,91440115093120107E
2024,1,Supplier,物产中大（海南）发展有限公司,广东金和化工有限公司,12336775,企业,91440115093120107E
2024,1,Supplier,浙江物产氯碱化工有限公司,广东麟德实业控股有限公司,360000,企业,91440112MA7MHE633C
2024,1,Supplier,物产中大新材料科技发展（浙江）有限公司,广州经济技术开发区华琳石油化工有限责任公司,253622.5,企业,91440116231280097F
2024,1,Supplier,物产中大化工集团有限公司,广西丝路农业有限公司,929335.5,企业,91450001MAA7CGGJ8B
2024,1,Supplier,浙江物产化工集团宁波有限公司,广西景怡通物流有限公司,832187.76,企业,91450600099080134F
2024,1,Supplier,盈泰国际（新加坡）有限公司,扬州建元生物科技有限公司,11030926.565637,企业,
2024,1,Supplier,浙江物产经编供应链有限公司,新凤鸣集团股份有限公司,4043965.27,企业,913300007195926252
2024,1,Supplier,物产中大化工集团有限公司,日出实业集团有限公司,8335758.24,企业,91330200725159123C
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,日出实业集团有限公司,3645000,企业,91330200725159123C
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,杭实国贸投资（杭州）有限公司,7020000,企业,91330102MA28MKNC75
2024,1,Supplier,物产中大（海南）发展有限公司,杭实国贸投资（杭州）有限公司,12763950,企业,91330102MA28MKNC75
2024,1,Supplier,物产中大化工集团有限公司,杭州闵农国际贸易有限公司,10409283.2,企业,91330100MA2KKD1A1X
2024,1,Supplier,舟山聚能能源有限公司,株洲兴隆新材料股份有限公司,1504524,\N,\N
2024,1,Supplier,物产中大化工集团有限公司,桐乡中欣化纤有限公司,1760745.61,企业,91330483749032717K
2024,1,Supplier,浙江物产经编供应链有限公司,桐昆集团浙江恒通化纤有限公司,49072.72,企业,91330000674773405K
2024,1,Supplier,浙江物产经编供应链有限公司,桐昆集团股份有限公司,11308773.2,企业,91330000146846252J
2024,1,Supplier,物产中大化工集团有限公司,桐昆集团股份有限公司,227124,企业,91330000146846252J
2024,1,Supplier,物产化工（浙江自贸区）有限公司,桐昆集团股份有限公司,70953000,企业,91330000146846252J
2024,1,Supplier,物产中大化工集团有限公司,武汉长江国际贸易集团有限公司,2583813.6,\N,\N
2024,1,Supplier,物产中大欧泰有限公司,江苏小犇物产有限公司,7654500,企业,91320505MA7E2YABXT
2024,1,Supplier,物产化工（浙江自贸区）有限公司,江苏虹港石化有限公司,202243680,企业,9132070057037483XG
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,江阴市金桥化工有限公司,7470000,企业,91320281724436221E
2024,1,Supplier,欧泰汇能（东营）供应链有限公司,河北鸿图锌业有限公司,2268000,\N,\N
2024,1,Supplier,舟山聚能能源有限公司,河北鸿图锌业有限公司,1846200,\N,\N
2024,1,Supplier,浙江物产化工集团宁波有限公司,河南省煤炭销售集团力源实业有限公司,2893215,企业,91410000169958708A
2024,1,Supplier,舟山聚能能源有限公司,泰州圣奥化学科技有限公司,2434000,\N,\N
2024,1,Supplier,宁波凯优国际贸易有限公司,浙江华立国际发展有限公司,40117000,企业,913300007042025753
2024,1,Supplier,物产中大石油化工（浙江）有限公司,浙江华立国际发展有限公司,43213308,企业,913300007042025753
2024,1,Supplier,物产中大化工集团有限公司,浙江嘉越贸易有限公司,2507904,企业,91330381MA2HCC5J1Y
2024,1,Supplier,物产中大化工集团有限公司,浙江宇创石化有限公司,11593312.5,企业,91330281MA2CJDK32M
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,浙江杭实善成实业有限公司,3475000,企业,91331127MA2A03CN2R
2024,1,Supplier,物产化工（浙江自贸区）有限公司,浙江欧良商贸有限公司,6866000,企业,91330303MA29AATM54
2024,1,Supplier,物产中大化工集团有限公司,浙江添翼国际贸易有限公司,111676908,企业,91330122MAD1P4C72U
2024,1,Supplier,物产中大（海南）发展有限公司,浙江热联同裕实业有限公司,4133500,企业,91330113MACQXWBK3M
2024,1,Supplier,物产中大化工集团有限公司,浙江舟山泓弈通石化有限公司,12384654.4,企业,91330900MA2A3RMF2L
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,浙江荣通化纤新材料有限公司,57055884,企业,91330109MA28XPHE91
2024,1,Supplier,物产化工（浙江自贸区）有限公司,浙江赞成经贸有限公司,22085000,企业,91330000142937990H
2024,1,Supplier,物产中大化工集团有限公司,浩普新材料科技股份有限公司,1800000,\N,\N
2024,1,Supplier,物产中大（海南）发展有限公司,海南汉地流体材料有限公司,268425680.15,企业,914603000623375578
2024,1,Supplier,物产中大（海南）发展有限公司,海南裕亨贸易有限公司,16465757.73,\N,\N
2024,1,Supplier,物产中大化工集团有限公司,淮安益谷商贸有限公司,10881978.91,企业,91320829MA1TC8RL6J
2024,1,Supplier,物产中大化工集团有限公司,深圳市前海振洋海运有限公司,1767361.53,企业,91440300MA5DE0CU61
2024,1,Supplier,物产中大化工集团有限公司,湖州市中磊化纤有限公司,60139.56,企业,91330502MA2B7GRE9Q
2024,1,Supplier,浙江物产经编供应链有限公司,湖州市中跃化纤有限公司,3184128.06,企业,91330500MA29KF13XN
2024,1,Supplier,物产中大化工集团有限公司,滕州东方钢帘线有限公司,2774350.5,\N,\N
2024,1,Supplier,物产中大欧泰有限公司,滕州东方钢帘线有限公司,362265.6,\N,\N
2024,1,Supplier,舟山聚能能源有限公司,滕州东方钢帘线有限公司,9533408.02,\N,\N
2024,1,Supplier,物产中大化工集团有限公司,盐城市海成棉业有限公司,5415935,\N,\N
2024,1,Supplier,浙江物产化工集团宁波有限公司,科思创（上海）投资有限公司,6714398.4,\N,\N
2024,1,Supplier,物产中大新材料科技发展（浙江）有限公司,科思创（上海）投资有限公司,4658604,\N,\N
2024,1,Supplier,物产中大欧泰有限公司,舟山润泰鑫澜能源科技有限公司,25428060,企业,91330900MAC2YEWAXM
2024,1,Supplier,物产中大嘉悦（浙江）能源有限公司,苏州盛虹实业有限公司,17153280,企业,913205096701424899
2024,1,Supplier,物产中大（海南）发展有限公司,苏州盛虹实业有限公司,4311000,企业,913205096701424899
2024,1,Supplier,物产中大欧泰（海南）国际贸易有限公司,荆门市致晟化工有限公司,7060685.6,\N,\N
2024,1,Supplier,物产中大欧泰有限公司,西双版纳天正贸易有限公司,876662.5,企业,91532800218601546P
2024,1,Supplier,物产中大欧泰有限公司,西双版纳弘晟橡胶贸易有限责任公司,4980528,企业,915328000522199954
2024,1,Supplier,物产中大化工集团有限公司,辽港控股(营口)有限公司粮食分公司,10740172.13,企业,91210804MA10WBYE4Y
2024,1,Supplier,物产中大乾睿能源化工（浙江）有限公司,金能化学（青岛）有限公司,4723200,企业,91370211MA3MR1PR24
2024,1,Supplier,物产中大化工集团有限公司,锦州拓丰粮食有限公司,31929869.2,企业,91210700MA7CYF8LX7
2024,1,Supplier,浙江物产氯碱化工有限公司,陕西北元化工集团股份有限公司,74725536.67,企业,91610821748622598U
2024,1,Supplier,浙江物产化工集团宁波有限公司,陕西邦嘉石化有限公司,7163867.3,\N,\N
2024,1,Supplier,浙江物产氯碱化工有限公司,陕西金泰氯碱化工有限公司,11521480,企业,916100007552218217
2024,1,Supplier,欧泰汇能（东营）供应链有限公司,青岛北橡国际贸易有限公司,2427264,企业,91370214MABU8DGH4R
2024,1,Supplier,物产化工（浙江自贸区）有限公司,青岛北橡国际贸易有限公司,3042278.41,企业,91370214MABU8DGH4R
2024,1,Supplier,舟山聚能能源有限公司,青岛华泰达橡胶有限公司,2419200,企业,91370220MACJUEURXW
2024,1,Supplier,物产化工（浙江自贸区）有限公司,青岛平度嘉德瑞贸易有限公司,29498880,企业,91370283MA3P7L7EXX
2024,1,Supplier,物产中大化工集团有限公司,首大能源环保集团有限公司,1044000,企业,91110000726378475C
2024,2,Customer,物产中大欧泰有限公司,上海中油锦华实业股份有限公司,59835034.4,企业,913100006315620698
2024,2,Customer,浙江物产氯碱化工有限公司,上海易塑贸易有限公司,1698000,企业,91310116MA1J800N8C
2024,2,Customer,物产中大乾睿能源化工（浙江）有限公司,上海易塑贸易有限公司,1680000,企业,91310116MA1J800N8C
2024,2,Customer,物产中大化工集团有限公司,上海易塑贸易有限公司,1397775,企业,91310116MA1J800N8C
2024,2,Customer,物产中大化工集团有限公司,上海楷烨粮油贸易有限公司,6787427.2,企业,91310115MA1H8UXY8B
2024,2,Customer,物产中大化工集团有限公司,上海沐昊国际贸易有限公司,5527977.13,企业,91310115351095072J
2024,2,Customer,浙江物产化工集团宁波有限公司,中国石油化工股份有限公司茂名分公司,51650485.7,企业,91440900722484553D
2024,2,Customer,物产中大嘉悦（浙江）能源有限公司,中基石化有限公司,8065000,企业,91330212MA2AJ20C70
2024,2,Customer,物产中大（海南）发展有限公司,中基石化有限公司,406250,企业,91330212MA2AJ20C70
2024,2,Customer,物产化工（浙江自贸区）有限公司,中基石化有限公司,4512000,企业,91330212MA2AJ20C70
2024,2,Customer,物产中大嘉悦（浙江）能源有限公司,南通化工轻工股份有限公司,15828500,企业,913206001382908562
2024,2,Customer,物产中大（海南）发展有限公司,南通化工轻工股份有限公司,15930775,企业,913206001382908562
2024,2,Customer,物产化工（浙江自贸区）有限公司,南通化工轻工股份有限公司,4518000,企业,913206001382908562
2024,2,Customer,浙江物产化工集团宁波有限公司,卫星化学股份有限公司,3808052.8,企业,9133000077826404X2
2024,2,Customer,浙江物产化工集团宁波有限公司,台州市好迪机电配件有限公司,5438993.12,企业,913310027441238985
2024,2,Customer,浙江物产经编供应链有限公司,嘉兴凝鑫科技新材料有限公司,567364.8,企业,91330421670276049F
2024,2,Customer,物产化工（浙江自贸区）有限公司,四川天原鑫华供应链科技有限公司,2278000,企业,915115007918130235
2024,2,Customer,物产中大化工集团有限公司,国泰君安风险管理有限公司,13245000,企业,913101153231376692
2024,2,Customer,物产中大（海南）发展有限公司,埃克森美孚（天津）石油有限公司,24877246.68,企业,91120116600538170W
2024,2,Customer,物产中大化工集团有限公司,宁波大卓化工有限公司,43970000,企业,91330212MACPDA9Y52
2024,2,Customer,物产化工（浙江自贸区）有限公司,宁波杉杉能化有限公司,13202000,企业,91330201316904321G
2024,2,Customer,物产中大嘉悦（浙江）能源有限公司,宁波海天同创实业有限公司,4686000,企业,91330206MA2CMU978C
2024,2,Customer,物产中大（海南）发展有限公司,宁波海天同创实业有限公司,3680000,企业,91330206MA2CMU978C
2024,2,Customer,物产中大乾睿能源化工（浙江）有限公司,宁波禾元控股有限公司,4435730.48,企业,91330206066644984R
2024,2,Customer,物产中大化工集团有限公司,富邦资源控股集团有限公司,13238594.9,企业,91330201MA7J3HGD8W
2024,2,Customer,物产化工（浙江自贸区）有限公司,富邦资源控股集团有限公司,11805564,企业,91330201MA7J3HGD8W
